Date and Time , Wed Mar 11 17:27:28 2026

Cursor Data
Mode , Measure , Amplitude(2)
X1 , - - -
X2 , - - -
DeltaX , - - -
1/DeltaX , - - -
Y1 , -2.20614V
Y2 , -228.26mV
DeltaY , 1.97800V
DeltaY/DeltaX , - - -

Measurement Results
        , Pk-Pk(1) , Amplitude(1) , Frequency(1) , Period(1) , Pk-Pk(2) , Period(2) , Frequency(2) , Amplitude(2)
Current , 1.9925V  , 1.9925V      , 8.3290Hz     , 120.06ms  , 1.9924V  , 120.00ms  , 8.3332Hz     , 1.9779V     
Mean    , 625.7mV  , 616.8mV      , 112.32Hz     , 20.092ms  , 1.1392V  , 62.413ms  , 66.676Hz     , 1.4410V     
Min     , 419.6mV  , 419.6mV      , 8.2711Hz     , 7.948ms   , 400.8mV  , 7.938ms   , 8.3302Hz     , 400.8mV     
Max     , 2.4100V  , 2.1900V      , 125.82Hz     , 120.90ms  , 2.3300V  , 120.04ms  , 125.98Hz     , 2.1600V     
Std Dev , 556.3mV  , 529.2mV      , 36.323Hz     , 34.771ms  , 843.1mV  , 56.079ms  , 58.450Hz     , 773.4mV     
Count   , 1.285k   , 1.285k       , 1.270k       , 1.269k    , 350      , 282       , 274          , 237         

